Training Center,Contact Info,Website,Training Director
Daytona Beach Electrical JATC,"; 5889 South Williamson Blvd Suite 1308; 
        ; Port Orange, FL 32128; 
        ; Phone: 386-322-6236; 
        ; Fax: 386-322-6238;",,"; Robert Cruz; 
        ; rcruz@etadb.org;"
Florida East Coast Electrical JATC,"; 4620 Summit Blvd; 
        ; West Palm Beach, FL 33415; 
        ; Phone: 561-968-4400; 
        ; Fax: 561-968-1390;",,"; Richard Shawbell; 
        ; rshawbell@ibew728.org;"
Gainesville Electrical JATC,"; 2420 NE 17th Terrace; 
        ; Gainesville, FL 32627; 
        ; Phone: 352-376-8375; 
        ; Fax: 352-371-0288;",,"; Shawn C.  Graves; 
        ; gainesvillejatc@bellsouth.net;"
Jacksonville Electrical JATC,"; 4951 Richard Street; 
        ; Jacksonville, FL 32207; 
        ; Phone: 904-737-7533; 
        ; Fax: 904-737-7534; 
    ; Website: ; http://www.etajax.org;",http://www.etajax.org,"; Daniel R. Van Sickle; 
        ; dvansickle@etajax.org;"
Miami Electrical JATC,"; 1657 NW 17th Avenue; 
        ; Miami, FL 33125; 
        ; Phone: 305-324-7578; 
        ; Fax: 305-325-9916;",,"; Kenneth Fennell; 
        ; kennethf@ibew349.org;"
Central Florida Electrical JATC,"; 2738 N. Forsyth Road; 
        ; Winter Park, FL 32792; 
        ; Phone: 407-678-3733; 
        ; Fax: 407-657-9851;",,"; Sean S. Donnelly; 
        ; sdonnelly@etacfl.org;"
Gulf Coast Electrical JATC,"; 7830 N. Palafox Street; 
        ; Pensacola, FL 32534; 
        ; Phone: 850-477-8767; 
        ; Fax: 850-477-8768;",,"; James M. Fowler; 
        ; jmfowler676@yahoo.com;"
Tampa Area Electrical JATC,"; 5625 Harney Road; 
        ; Tampa, FL 33610; 
        ; Phone: 813-621-3002; 
        ; Fax: 813-628-0278; 
    ; Website: ; http://www.tampajatc.org;",http://www.tampajatc.org,"; Dave  McCraw; 
        ; david.mccraw@tampajatc.org;"
Albany Electrical JATC,"; P.O. Box 916; 
        ; Albany, GA 31702; 
        ; Phone: 229-436-2417; 
        ; Fax: 229-436-0992;",,"; Timothy Forehand; 
        ; tforehand.njatc@gmail.com;"
Atlanta Electrical JATC,"; 6601 Bay Circle; 
        ; Norcross, GA 30071; 
        ; Phone: 404-523-5400; 
        ; Fax: 404-525-6761; 
    ; Website: ; http://www.electricaltrainingcenter.org;",http://www.electricaltrainingcenter.org,"; Russell  Smith; 
        ; rsmith@aejatc.org;"
CSRA Electrical JATC,"; 1248 Reynolds Street; 
        ; Augusta, GA 30901; 
        ; Phone: 706-722-4100; 
        ; Fax: 706-722-9555; 
    ; Website: ; http://www.ibew1579.org/apprenticeship.html ;",http://www.ibew1579.org/apprenticeship.html,"; Donald M. Kelly IV; 
        ; donaldkelly@csraelectrical.net;"
Macon Electrical JATC,"; 1046 Patterson Street; 
        ; Macon , GA 31204; 
        ; Phone: 478-743-7017; 
        ; Fax: 478-743-4482;",,"; Halley Duncan; 
        ; halleyd@maconelectricaljatc.com;"
Savannah Electrical Training Alliance,"; 1526 Dean Forest Road; 
        ; Savannah, GA 31408; 
        ; Phone: 912-964-1989; 
        ; Fax: 912-964-5656; 
    ; Website: ; http://www.sav-electricaltrainingalliance.com;",http://www.sav-electricaltrainingalliance.com,"; Jason Andrews; 
        ; trainingdirector@saveta.onmicrosoft.com;"
SELCAT,"; 90 Newnan South Industrial Drive; 
        ; Newnan, GA 30263; 
        ; Phone: 678-423-1338; 
        ; Fax: 678-423-1341; 
    ; Website: ; http://www.selcat.com;",http://www.selcat.com,"; Danny Haddad; 
        ; jenniferg@selcat.com;"
Hawaii Electricians JATC,"; 1935 Hau Street, Suite 400; 
        ; Honolulu, HI 96819; 
        ; Phone: 808-847-0629; 
        ; Fax: 808-843-8818;",,"; Mimi Sroat; 
        ; mimi@hetf1186.org;"
Southeast Iowa Electrical JATC,"; 1205 N. Central Avenue; 
        ; Burlington, IA 52601; 
        ; Phone: 319-753-1165; 
        ; Fax: null;",,"; Jamey Weinreich; 
        ; apprenticeship@seiajatc.org;"
Cedar Rapids Electrical JATC,"; 2300 Johnson Avenue, N.W.; 
        ; Cedar Rapids, IA 52405; 
        ; Phone: 319-654-9238; 
        ; Fax: 319-654-9244;",,"; Jebediah Novak; 
        ; jebediahnovak@crejatc.org;"
Des Moines Electrical Apprenticeship & Training Trust,"; 10700 Justin Drive; 
        ; Urbandale, IA 50322; 
        ; Phone: 515-224-4349; 
        ; Fax: 515-224-2956; 
    ; Website: ; http://www.dmelejatc.org;",http://www.dmelejatc.org,"; Stephen Hansen; 
        ; shansen@dmelejatc.org;"
Dubuque Electrical JATC,"; 1948 NW 92nd Ct; 
        ; Clive, IA 52001; 
        ; Phone: 563-513-9948; 
        ; Fax: 563-557-0319;",,"; Greg Willging; 
        ; willginggr@nicc.edu;"
Sioux City Electrical JATC,"; 319 Sergeant Square Drive; 
        ; Sergeant Bluff, IA 51054; 
        ; Phone: 712-219-5375; 
        ; Fax: 712-219-5374; 
    ; Website: ; http://www.scjatc.org;",http://www.scjatc.org,"; Thomas Zeman; 
        ; tom.zeman@scjatc.org;"
Waterloo Electrical JATC,"; 1693 Burton Ave; 
        ; Waterloo, IA 50703; 
        ; Phone: 319-232-5374; 
        ; Fax: null;",,"; Christina Henzen; 
        ; apprenticeship@ibew288.org;"
Missouri Valley Line Constructors JATC,"; 1600 E. Iowa Ave; 
        ; Indianola, IA 50125; 
        ; Phone: 515-961-5062; 
        ; Fax: 515-961-7332; 
    ; Website: ; http://www.movalleyjatc.org;",http://www.movalleyjatc.org,"; David Audette; 
        ; daudette@movalleyjatc.org;"
Southwestern Idaho Electrical JATC,"; 12302 W. Explorer Drive Suite 130; 
        ; Boise, ID 83713; 
        ; Phone: 208-384-0538; 
        ; Fax: 208-384-0081;",,"; Miles Whittington; 
        ; miles@idahoelectricalapprenticeship.org;"
Eastern Idaho Electrical JATC,"; 8450 S. 5th Ave; 
        ; Pocatello, ID 83204; 
        ; Phone: 208-232-4300; 
        ; Fax: 208-232-7883; 
    ; Website: ; https://www.eijatc.org;",https://www.eijatc.org,"; Christopher Kress Lochridge; 
        ; chris@eijatc.org;"
Electrician Joint Apprenticeship IBEW 649,"; 3941 Humbert Road; 
        ; Alton, IL 62002; 
        ; Phone: 618-463-7792; 
        ; Fax: 618-463-7794;",,"; Frank J. Trost; 
        ; ftrost@yahoo.com;"
NECA-IBEW Local Union 461 JATC,"; 591 Sullivan Road, Suite 200; 
        ; Aurora, IL 60506; 
        ; Phone: 630-897-0461; 
        ; Fax: 630-897-1317;",,"; Mike  Angelo; 
        ; jatc@ibew461.com;"
Bloomington/Normal JATC,"; 2407 Beich Road, Suite B; 
        ; Bloomington, IL 61705; 
        ; Phone: 309-829-9819; 
        ; Fax: 309-821-0388; 
    ; Website: ; http://www.ibew197.org/apprenticeship;",http://www.ibew197.org/apprenticeship,"; Lester Parker; 
        ; director@bnjatc.org;"
Champaign-Urbana JATC,"; 3301 N. Boardwalk Drive; 
        ; Champaign, IL 61822; 
        ; Phone: 217-352-3704; 
        ; Fax: 217-352-6701;",,"; Edward L. (Tui) Lynch II; 
        ; cujatc@ibew601.org;"
Chicago EJATT,"; 6201 W. 115th Street; 
        ; Alsip, IL 60803; 
        ; Phone: 708-389-1340; 
        ; Fax: 708-389-2840;",,"; Gene Kent; 
        ; gkent@ejatt.com;"
Southwestern Illinois JATC,"; 2000 B Mall Street; 
        ; Collinsville, IL 62234; 
        ; Phone: 618-343-1954 ext. 243; 
        ; Fax: 618-343-3046;",,"; Matthew Sommer; 
        ; msommer@309jatc.org;"
Danville NECA-IBEW Elec. JATC,"; 1290 North Michigan Avenue; 
        ; Danville, IL 61834; 
        ; Phone: 217-304-4335; 
        ; Fax: 217-442-8048;",,"; John Gallez; 
        ; jatc@ibew538.com;"
Midstate Electrical Training Center,"; 3390 N. Woodford Street; 
        ; Decatur, IL 62526; 
        ; Phone: 217-875-3041; 
        ; Fax: 217-875-7996;",,"; Jason Drake; 
        ; jason@metcmail.com;"
IBEW LU117 NECA JATC McHenry & N. Kane Counties,"; 765 Munshaw Lane; 
        ; Crystal Lake, IL 60014; 
        ; Phone: 847-854-7200; 
        ; Fax: 847-854-7266;",,"; Josh Sajtar; 
        ; jsajtar@ibew117jatc.com;"
DuPage County Elec. JATC,"; 28600 Bella Vista Parkway, Suite 1500; 
        ; Warrenville, IL 60555; 
        ; Phone: 630-393-1701; 
        ; Fax: 630-393-3473;",,"; T.J. Jarman; 
        ; tjarman@ibew701.org;"
Joliet Electrical Training Center,"; 1200 N.E Frontage Road; 
        ; Joliet, IL 60431; 
        ; Phone: 815-741-2758; 
        ; Fax: 815-741-9026;",,"; Joel Maxard; 
        ; jm@ibewlocal176.org;"
Peoria Elec. JATC,"; 4313 South Entec Drive; 
        ; Bartonville, IL 61607; 
        ; Phone: 309-673-6900; 
        ; Fax: 309-673-6322;",,"; Matthew R. Anderson; 
        ; info@peoriajatc.org;"
Northern Illinois Electrical,"; 619 Southrock Drive; 
        ; Rockford, IL 61102; 
        ; Phone: 815-969-8484; 
        ; Fax: 815-969-8400;",,"; David Cargill; 
        ; dcargill@jatc364.net;"
Quad City Electrical JATC,"; 1700 52nd Avenue, Suite C; 
        ; Moline, IL 61265; 
        ; Phone: 309-762-3270; 
        ; Fax: 309-762-3357;",,"; Terry Van Hook; 
        ; tvanhook@qcejatc.org;"
NECA/IBEW Local 193 JATC,"; 3150 Wide Track Drive; 
        ; Springfield, IL 62703; 
        ; Phone: 217-544-3479; 
        ; Fax: 217-528-5481;",,"; Scott M. Hill; 
        ; sparky193@comcast.net;"
Lake County JATC,"; 31290 N. US Highway 45, Unit A; 
        ; Libertyville, IL 60048; 
        ; Phone: 847-566-2200; 
        ; Fax: 847-566-2204;",,"; Bryan Sorensen; 
        ; bsorensen@lakecountyjatc.org;"
Southern Illinois Div. Ch. NECA-IBEW LU 702 JATC,"; 11846 Country Club Road; 
        ; West Frankfort, IL 62896; 
        ; Phone: 618-937-3311; 
        ; Fax: 618-932-3400;",,"; Charles Duane Brookhouse; 
        ; dbrookhouse@ibew702.org;"
Evansville Electrical JATC,"; 2330 Lynch Road; 
        ; Evansville, IN 47711; 
        ; Phone: 812-422-3343; 
        ; Fax: 812-422-3262; 
    ; Website: ; http://www.evvjatc.org;",http://www.evvjatc.org,"; Roger D. Clark; 
        ; rclark@evvjatc.org;"
Fort Wayne Electrical JATC,"; 138 Chambeau Road; 
        ; Ft. Wayne, IN 46805; 
        ; Phone: 260-483-6257; 
        ; Fax: 260-484-4421; 
    ; Website: ; https://www.ibew305training.com;",https://www.ibew305training.com,"; Ryan Wamsley; 
        ; rwamsley@fortwayneejatc.org;"
Lake County Electricians JATC,"; 7200 Mississippi, Suite 100; 
        ; Merrillville, IN 46410; 
        ; Phone: 219-845-3454; 
        ; Fax: 219-845-2455;",,"; Matthew Valant; 
        ; mvalant@697jatc.org;"
Indianapolis Electrical JATC,"; 1751 S. Lawndale Avenue; 
        ; Indianapolis, IN 46241; 
        ; Phone: 317-270-5282; 
        ; Fax: 317-270-5292; 
    ; Website: ; https://www.eti-indy.org/;",https://www.eti-indy.org/,"; Andre Grocox; 
        ; agrocox@eti-indy.org;"
Marion Kokomo JATC,"; P.O. Box 2706, 2739 N. 50 E.; 
        ; Kokomo, IN 46901; 
        ; Phone: 765-452-2270; 
        ; Fax: 765-452-2247;",,"; Brent N. Fye; 
        ; mkjatc@ibew873.com;"
Lafayette Electrical JATC,"; P.O. Box 5015; 
        ; Lafayette, IN 47903; 
        ; Phone: 765-449-4300; 
        ; Fax: 765-449-4311; 
    ; Website: ; http://www.lejatc.com;",http://www.lejatc.com,"; Ben Tiefel; 
        ; bentiefel@lejatc.com;"
Electrical JATC of Northern Indiana,"; 301 East 8th Street; 
        ; Michigan City, IN 46360; 
        ; Phone: 219-879-1090; 
        ; Fax: 219-879-0717;",,"; Scott Baker; 
        ; sbaker@jatc531.com;"
Muncie Electrical JATC,"; 4601 S. Meeker Avenue; 
        ; Muncie, IN 47302; 
        ; Phone: 765-287-9841; 
        ; Fax: 765-287-9841;",,"; David  Blackford; 
        ; dblackford@jatc855.com;"
South Bend Vicinity Electrical JATC,"; 56365 Peppermint Road; 
        ; South Bend, IN 46619; 
        ; Phone: 574-233-1721; 
        ; Fax: 574-233-1947;",,"; Joseph Gambill; 
        ; joegambill@jatc153.com;"
Terre Haute Electrical JATC,"; 950 Ohio Street; 
        ; Terre Haute, IN 47807; 
        ; Phone: 812-235-7541; 
        ; Fax: 812-234-3794;",,"; Ryan Hughes; 
        ; rhughes@thejatc.org;"
Hutchinson Electrical JATC,"; 200 W. 2nd; 
        ; Hutchinson, KS 67501; 
        ; Phone: 620-663-3431; 
        ; Fax: 620-663-2878; 
    ; Website: ; https://www.hutchinsonelectricaltrainingacademy.org;",https://www.hutchinsonelectricaltrainingacademy.org,"; Gina McConnell; 
        ; ginamcconnell@hutchjatc.org;"
Topeka Electrical JATC,"; 1620 NW Gage, Suite B; 
        ; Topeka, KS 66618; 
        ; Phone: 785-232-5154; 
        ; Fax: 785-232-0640; 
    ; Website: ; http://topekaelectricaljatc.com;",http://topekaelectricaljatc.com,"; Darin Mason; 
        ; topeka.jatc.director@outlook.com;"
